iter	Logloss
0	0.6588893644
1	0.6312246445
2	0.6063365729
3	0.5854935905
4	0.5662917895
5	0.5482022981
6	0.531428702
7	0.517377574
8	0.504604575
9	0.4931364896
10	0.4826272475
11	0.4739348812
12	0.4640659247
13	0.4516705814
14	0.4452010293
15	0.4370072882
16	0.4315329773
17	0.4246301694
18	0.4198195211
19	0.4138368727
20	0.4088902969
21	0.3981252768
22	0.3939857987
23	0.3904526295
24	0.3881813138
25	0.3847145789
26	0.3816981632
27	0.3787209789
28	0.3753858461
29	0.3728588637
30	0.3669366519
31	0.3651723623
32	0.3626247762
33	0.3563025181
34	0.3547946683
35	0.3520306949
36	0.3473167277
37	0.343580123
38	0.3401582531
39	0.3374433828
40	0.3358926831
41	0.3316362931
42	0.3282664769
43	0.3256432255
44	0.3240409895
45	0.3202223429
46	0.3179765818
47	0.3169911702
48	0.3128073505
49	0.3110048883
50	0.3077927884
51	0.3060045504
52	0.3050210879
53	0.3018328492
54	0.2994828783
55	0.297112376
56	0.2956348602
57	0.29390218
58	0.2925228673
59	0.2906302631
60	0.2877864496
61	0.2860767884
62	0.2850150769
63	0.2834958904
64	0.2825246789
65	0.281423321
66	0.2789276051
67	0.2763507692
68	0.2741080611
69	0.2710521118
70	0.2700303475
71	0.2669437543
72	0.264837106
73	0.2633183105
74	0.2619154855
75	0.2607280852
76	0.2581438019
77	0.2561381825
78	0.2532926379
79	0.251850532
80	0.2498978942
81	0.2488337133
82	0.2469654846
83	0.2446856627
84	0.2431146
85	0.241882625
86	0.2401464031
87	0.2381016923
88	0.2359267794
89	0.2348018882
90	0.2338317038
91	0.2320665404
92	0.2304570555
93	0.229330146
94	0.228474195
95	0.2278213321
96	0.225476655
97	0.2245251614
98	0.2237132738
99	0.2228370605
100	0.222117043
101	0.2208930568
102	0.2198082871
103	0.2186643727
104	0.2169828815
105	0.2151098825
106	0.2143758243
107	0.2134378479
108	0.2122848965
109	0.2109410071
110	0.2101278172
111	0.207704088
112	0.2061691871
113	0.2045756633
114	0.2037982396
115	0.2027658831
116	0.2023501405
117	0.2008682046
118	0.1986326747
119	0.1975566384
120	0.1969593198
121	0.1961827217
122	0.1954649901
123	0.1947248772
124	0.1936337911
125	0.1925556943
126	0.1905725345
127	0.188577805
128	0.1875170635
129	0.1865906478
130	0.1852400028
131	0.1836991283
132	0.181961428
133	0.1810339024
134	0.1798692865
135	0.179263728
136	0.1782562539
137	0.1777113124
138	0.1768059169
139	0.1762579315
140	0.1756608099
141	0.175126262
142	0.1744643169
143	0.1732307809
144	0.1717136743
145	0.1706990596
146	0.1702629419
147	0.1695154462
148	0.1678953872
149	0.1672729712
150	0.1663568573
151	0.1651400869
152	0.1647053739
153	0.1637682126
154	0.1631865769
155	0.1627068515
156	0.1621269483
157	0.1614523297
158	0.1601929758
159	0.1591813629
160	0.1582317191
161	0.1574894239
162	0.1565605824
163	0.1561364855
164	0.1555688228
165	0.1547707472
166	0.1543122135
167	0.1539497037
168	0.1534201684
169	0.1529115752
170	0.1521629606
171	0.151530166
172	0.1505002925
173	0.1501287712
174	0.1494339549
175	0.1482815313
176	0.1478364352
177	0.1472313443
178	0.1466248578
179	0.1456694735
180	0.144090616
181	0.143251915
182	0.1430074615
183	0.1419482946
184	0.1412293629
185	0.1406042384
186	0.1402956096
187	0.1393488127
188	0.1384555043
189	0.1376280316
190	0.1369943542
191	0.1366544904
192	0.1352437473
193	0.1346636215
194	0.1343826724
195	0.1338221292
