iter	Passed	Remaining
0	23	23082
1	44	22110
2	65	21718
3	85	21323
4	107	21360
5	129	21473
6	155	22090
7	180	22387
8	210	23144
9	232	23015
10	253	22779
11	275	22656
12	298	22667
13	320	22581
14	342	22458
15	364	22386
16	385	22306
17	406	22202
18	432	22341
19	454	22291
20	477	22245
21	499	22222
22	527	22403
23	555	22599
24	582	22727
25	608	22806
26	632	22808
27	655	22771
28	695	23278
29	720	23284
30	742	23200
31	765	23157
32	788	23099
33	809	23002
34	833	22975
35	858	23000
36	880	22905
37	902	22835
38	926	22818
39	946	22713
40	968	22653
41	991	22610
42	1012	22526
43	1033	22462
44	1054	22382
45	1077	22347
46	1099	22302
47	1125	22320
48	1148	22285
49	1170	22239
50	1194	22219
51	1217	22187
52	1238	22133
53	1265	22170
54	1288	22135
55	1311	22104
56	1333	22061
57	1369	22246
58	1397	22295
59	1423	22308
60	1454	22387
61	1478	22372
62	1501	22330
63	1530	22384
64	1557	22397
65	1579	22356
66	1603	22323
67	1627	22308
68	1651	22276
69	1678	22294
70	1700	22247
71	1724	22229
72	1747	22195
73	1772	22180
74	1796	22158
75	1829	22242
76	1857	22265
77	1884	22274
78	1912	22293
79	1940	22311
80	1967	22321
81	2101	23525
82	2162	23892
83	2187	23849
84	2210	23796
85	2235	23755
86	2260	23725
87	2297	23811
88	2324	23793
89	2351	23777
90	2376	23739
91	2401	23700
92	2427	23679
93	2452	23634
94	2473	23563
95	2497	23522
96	2526	23518
97	2552	23491
98	2583	23507
99	2607	23468
100	2631	23421
101	2656	23387
102	2681	23349
103	2710	23350
104	2734	23312
105	2759	23273
106	2784	23238
107	2808	23198
108	2834	23167
109	2861	23154
110	2886	23116
111	2910	23079
112	3017	23686
113	3054	23736
114	3079	23697
115	3103	23653
116	3126	23593
117	3152	23562
118	3175	23509
119	3198	23452
120	3221	23401
121	3245	23353
122	3268	23301
123	3292	23261
124	3314	23204
125	3336	23144
126	3359	23093
127	3381	23035
128	3405	22990
129	3430	22958
130	3453	22908
131	3476	22860
132	3504	22843
133	3530	22817
134	3560	22813
135	3586	22786
136	3614	22771
137	3657	22843
138	3684	22823
139	3711	22799
140	3736	22765
141	3760	22724
142	3785	22686
143	3810	22649
144	3839	22640
145	3863	22600
146	3889	22568
147	3913	22531
148	3936	22483
149	3958	22432
150	3984	22405
151	4009	22368
152	4032	22325
153	4057	22289
154	4080	22243
155	4103	22202
156	4128	22168
157	4151	22121
158	4172	22071
159	4195	22028
160	4218	21984
161	4242	21945
162	4268	21917
163	4291	21875
164	4314	21833
165	4339	21799
166	4374	21821
167	4401	21798
168	4425	21759
169	4448	21719
170	4475	21696
171	4502	21675
172	4533	21669
173	4559	21642
174	4586	21622
