iter	Passed	Remaining
0	22	6683
1	37	5567
2	87	8647
3	106	7917
4	159	9416
5	172	8474
6	219	9195
7	263	9616
8	275	8908
9	289	8398
10	305	8023
11	319	7668
12	359	7934
13	386	7886
14	405	7706
15	463	8230
16	535	8911
17	598	9380
18	668	9884
19	689	9659
20	701	9323
21	771	9743
22	804	9690
23	854	9825
24	915	10070
25	955	10071
26	971	9820
27	990	9623
28	1043	9755
29	1086	9776
30	1099	9540
31	1112	9316
32	1161	9397
33	1211	9477
34	1231	9322
35	1277	9369
36	1325	9419
37	1376	9492
38	1407	9419
39	1457	9470
40	1514	9569
41	1561	9594
42	1593	9524
43	1635	9516
44	1683	9540
45	1730	9557
46	1747	9405
47	1797	9435
48	1847	9462
49	1861	9305
50	1911	9333
51	1963	9363
52	1980	9230
53	2036	9278
54	2087	9298
55	2146	9354
56	2203	9394
57	2262	9441
58	2288	9346
59	2317	9270
60	2332	9137
61	2386	9160
62	2441	9184
63	2459	9070
64	2529	9146
65	2729	9678
66	2790	9703
67	2811	9592
68	2829	9473
69	2877	9456
70	2903	9366
71	2913	9225
72	2924	9093
73	2938	8974
74	2978	8935
75	3024	8914
76	3035	8791
77	3076	8755
78	3118	8724
79	3129	8606
80	3168	8566
81	3210	8534
82	3246	8488
83	3286	8450
84	3327	8416
85	3342	8317
86	3378	8271
87	3392	8173
88	3433	8138
89	3473	8105
90	3513	8070
91	3551	8029
92	3562	7929
93	3606	7903
94	3645	7866
95	3684	7829
96	3725	7796
97	3768	7768
98	3809	7733
99	3849	7699
100	3887	7660
101	3926	7621
102	3967	7589
103	4010	7558
104	4052	7526
105	4068	7445
106	4091	7379
107	4127	7337
108	4164	7298
109	4178	7216
110	4194	7141
111	4228	7097
112	4264	7057
113	4300	7016
114	4334	6972
115	4371	6933
116	4407	6894
117	4441	6850
118	4479	6814
119	4515	6773
120	4550	6731
121	4589	6695
122	4630	6664
123	4666	6623
124	4704	6586
125	4741	6547
126	4780	6511
127	4815	6471
128	4850	6429
129	4888	6392
130	4926	6355
131	4967	6322
132	5020	6303
133	5066	6276
134	5110	6246
135	5157	6219
136	5198	6184
137	5239	6151
138	5277	6112
139	5323	6083
140	5400	6089
141	5452	6066
142	5532	6074
143	5581	6046
144	5630	6018
145	5682	5993
146	5734	5968
147	5800	5957
148	5869	5947
149	5925	5925
150	5981	5902
151	6036	5877
152	6097	5857
153	6154	5834
154	6202	5802
155	6263	5781
156	6311	5749
157	6369	5724
158	6439	5710
159	6490	5679
160	6530	5638
161	6589	5613
162	6641	5582
163	6702	5557
164	6750	5523
165	6800	5489
166	6846	5452
167	6905	5425
168	6962	5397
169	7020	5368
170	7069	5333
171	7128	5304
172	7179	5270
173	7227	5233
174	7274	5195
175	7324	5160
176	7381	5129
177	7437	5097
178	7485	5059
179	7529	5019
180	7590	4990
181	7638	4952
182	7688	4915
183	7732	4875
184	7789	4842
185	7829	4798
186	7882	4763
187	7922	4719
188	7960	4675
189	8008	4636
190	8054	4596
191	8093	4552
192	8143	4514
193	8190	4475
194	8239	4436
195	8294	4401
196	8356	4368
197	8406	4330
198	8443	4285
199	8482	4241
200	8525	4199
201	8572	4159
202	8619	4118
203	8659	4075
204	8706	4034
205	8751	3993
206	8807	3956
207	8854	3916
208	8891	3871
209	8933	3828
210	8971	3784
211	9017	3743
212	9060	3700
213	9099	3656
214	9146	3616
215	9201	3578
216	9248	3537
217	9299	3497
218	9339	3454
219	9395	3416
220	9439	3374
221	9487	3333
222	9534	3292
223	9584	3252
224	9634	3211
225	9688	3172
226	9736	3131
227	9778	3088
228	9833	3048
229	9892	3010
230	9946	2971
231	10010	2934
232	10063	2893
233	10118	2853
234	10166	2812
235	10215	2770
236	10270	2730
237	10321	2688
238	10371	2647
239	10430	2607
240	10479	2565
241	10526	2522
242	10573	2480
243	10630	2439
244	10678	2397
245	10723	2353
246	10778	2312
247	10823	2269
248	10879	2228
249	10930	2186
250	10981	2143
251	11035	2102
252	11085	2059
253	11133	2016
254	11189	1974
255	11243	1932
256	11298	1890
257	11348	1847
258	11393	1803
259	11437	1759
260	11486	1716
261	11527	1671
262	11575	1628
263	11622	1584
264	11664	1540
265	11712	1497
266	11760	1453
267	11813	1410
268	11862	1367
269	11901	1322
270	11950	1278
271	11994	1234
272	12037	1190
273	12080	1146
274	12118	1101
275	12164	1057
276	12212	1014
277	12408	981
278	12483	939
279	12529	894
280	12576	850
281	12618	805
282	12664	760
283	12709	716
284	12760	671
285	12803	626
286	12848	581
287	12898	537
288	12946	492
289	12997	448
290	13048	403
291	13097	358
292	13140	313
293	13182	269
294	13236	224
295	13280	179
296	13330	134
297	13378	89
298	13427	44
299	13472	0
