id,alias,name,image_url,is_closed,url,review_count,categories,rating,transactions,price,phone,display_phone,distance,business_hours,coordinates_latitude,coordinates_longitude,location_address1,location_address2,location_address3,location_city,location_zip_code,location_country,location_state,location_display_address,attributes_business_temp_closed,attributes_menu_url,attributes_open24_hours,attributes_waitlist_reservation
eyDRfp442AUFrOJQT0w-Ww,bella-méxico,Bella,https://s3-media1.fl.yelpcdn.com/bphoto/00_m7LOsMoOQilkfOS5ILw/o.jpg,False,https://www.yelp.com/biz/bella-m%C3%A9xico?adjust_creative=JFcob6zpzFEcSKIHSDginw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=JFcob6zpzFEcSKIHSDginw,3,"[{'alias': 'cosmetics', 'title': 'Cosmetics & Beauty Supply'}]",4.3,[],$$$,+525555251510,+52 55 5525 1510,6138.788235268552,"[{'open': [{'is_overnight': False, 'start': '0930', 'end': '2030', 'day': 0}, {'is_overnight': False, 'start': '0930', 'end': '2030', 'day': 1}, {'is_overnight': False, 'start': '0930', 'end': '2030', 'day': 2}, {'is_overnight': False, 'start': '0930', 'end': '2030', 'day': 3}, {'is_overnight': False, 'start': '0930', 'end': '2030', 'day': 4}, {'is_overnight': False, 'start': '1000', 'end': '2000', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': True}]",19.4232497388831,-99.1628862481323,Gta Metro Insurgentes CC16G,Col. Roma,,"México, D.F.",06700,MX,DIF,"['Gta Metro Insurgentes CC16G', 'Col. Roma', '06700 México, D.F.', 'Mexico']",,,,
pUKi6n1mZM5qeDUl5RWsbQ,distribuidora-alhondiga-juárez,Distribuidora Alhondiga,https://s3-media3.fl.yelpcdn.com/bphoto/vjuaaCLWK2MdHlScz_AZOQ/o.jpg,False,https://www.yelp.com/biz/distribuidora-alhondiga-ju%C3%A1rez?adjust_creative=JFcob6zpzFEcSKIHSDginw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=JFcob6zpzFEcSKIHSDginw,1,"[{'alias': 'cosmetics', 'title': 'Cosmetics & Beauty Supply'}]",4.0,[],$$,+525552072658,+52 55 5207 2658,6965.535039912402,[],19.4224279443363,-99.1719181733706,Toledo 34,Col. Juárez,,Juárez,06600,MX,DIF,"['Toledo 34', 'Col. Juárez', '06600 Juárez, CDMX', 'Mexico']",,,,
6j5aBvM4xhLCpVr3qb5C9w,todo-barato-desde-3-50-méxico,Todo Barato desde $3:50,https://s3-media1.fl.yelpcdn.com/bphoto/9W1Pu_A7R7Je1c_ZTpx0Aw/o.jpg,False,https://www.yelp.com/biz/todo-barato-desde-3-50-m%C3%A9xico?adjust_creative=JFcob6zpzFEcSKIHSDginw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=JFcob6zpzFEcSKIHSDginw,1,"[{'alias': 'discountstore', 'title': 'Discount Store'}, {'alias': 'cosmetics', 'title': 'Cosmetics & Beauty Supply'}]",4.0,[],,,,4456.357967916726,[],19.4326077,-99.133208,"Av. Cuauhtémoc, División del Norte y",Av.Universidad Col. Letran,,"México, D.F.",03650,MX,DIF,"['Av. Cuauhtémoc, División del Norte y', 'Av.Universidad Col. Letran', '03650 México, D.F.', 'Mexico']",,,,
JkCO0GVl6lIlSOtaoGAiLQ,wigs-y-hair-méxico,Wigs & Hair,https://s3-media4.fl.yelpcdn.com/bphoto/Or1QcgEWoUOUu6t4kw158w/o.jpg,False,https://www.yelp.com/biz/wigs-y-hair-m%C3%A9xico?adjust_creative=JFcob6zpzFEcSKIHSDginw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=JFcob6zpzFEcSKIHSDginw,1,"[{'alias': 'cosmetics', 'title': 'Cosmetics & Beauty Supply'}]",4.0,[],,+525556692590,+52 55 5669 2590,5612.694201762512,"[{'open': [{'is_overnight': False, 'start': '0900', 'end': '1900', 'day': 0}, {'is_overnight': False, 'start': '0900', 'end': '1900', 'day': 1}, {'is_overnight': False, 'start': '0900', 'end': '1900', 'day': 2}, {'is_overnight': False, 'start': '0900', 'end': '1900', 'day': 3}, {'is_overnight': False, 'start': '0900', 'end': '1900', 'day': 4}, {'is_overnight': False, 'start': '0900', 'end': '1900', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': False}]",19.3901844929587,-99.1631428787514,Gabriel Mancera 506,Col. Del Valle,,"México, D.F.",03100,MX,DIF,"['Gabriel Mancera 506', 'Col. Del Valle', '03100 México, D.F.', 'Mexico']",,,,
IwJJ9P09uxM8F3UtA1mxTQ,inovativ-centro-méxico,Inovativ Centro,https://s3-media2.fl.yelpcdn.com/bphoto/Ed3vEmJE1t4xx3doddl0mw/o.jpg,False,https://www.yelp.com/biz/inovativ-centro-m%C3%A9xico?adjust_creative=JFcob6zpzFEcSKIHSDginw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=JFcob6zpzFEcSKIHSDginw,2,"[{'alias': 'cosmetics', 'title': 'Cosmetics & Beauty Supply'}]",4.0,[],$$$,+525559531729,+52 55 5953 1729,6697.501316429259,[],19.4134216,-99.1723587,Tamaulipas 20,Col. Condesa,,"México, D.F.",06140,MX,DIF,"['Tamaulipas 20', 'Col. Condesa', '06140 México, D.F.', 'Mexico']",,,,
UiQ3g0aJc4-L2YNq9IyJOA,distribuidora-don-juan-méxico,Distribuidora Don Juan,https://s3-media4.fl.yelpcdn.com/bphoto/tRpGLTJPIYwyzEwMuAPOIA/o.jpg,False,https://www.yelp.com/biz/distribuidora-don-juan-m%C3%A9xico?adjust_creative=JFcob6zpzFEcSKIHSDginw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=JFcob6zpzFEcSKIHSDginw,2,"[{'alias': 'cosmetics', 'title': 'Cosmetics & Beauty Supply'}]",4.0,[],$,+525555423309,+52 55 5542 3309,4189.259469424697,"[{'open': [{'is_overnight': False, 'start': '0900', 'end': '1900', 'day': 0}, {'is_overnight': False, 'start': '0900', 'end': '1900', 'day': 1}, {'is_overnight': False, 'start': '0900', 'end': '1900', 'day': 2}, {'is_overnight': False, 'start': '0900', 'end': '1900', 'day': 3}, {'is_overnight': False, 'start': '0900', 'end': '1900', 'day': 4}, {'is_overnight': False, 'start': '0900', 'end': '1900', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': False}]",19.4314246,-99.130364,Corregidora 7A,Col. Centro,,"México, D.F.",06000,MX,DIF,"['Corregidora 7A', 'Col. Centro', '06000 México, D.F.', 'Mexico']",,,,
86Rmr8J5sNPNlsgGaoPB5A,casa-barba-méxico-3,Casa Barba,https://s3-media4.fl.yelpcdn.com/bphoto/FsumHG6PwL2jVVd2aS2NHA/o.jpg,False,https://www.yelp.com/biz/casa-barba-m%C3%A9xico-3?adjust_creative=JFcob6zpzFEcSKIHSDginw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=JFcob6zpzFEcSKIHSDginw,1,"[{'alias': 'cosmetics', 'title': 'Cosmetics & Beauty Supply'}]",4.0,[],,+525552814355,+52 55 5281 4355,9160.617502524836,[],19.42893,-99.191705,Arquímedes 22,Col. Polanco,,"México, D.F.",11560,MX,DIF,"['Arquímedes 22', 'Col. Polanco', '11560 México, D.F.', 'Mexico']",,,,
ObaKIkp21UBw4Y-rjbck5w,inglot-méxico,Inglot,https://s3-media2.fl.yelpcdn.com/bphoto/P6HhRjy4YbExHsVYHivuyg/o.jpg,False,https://www.yelp.com/biz/inglot-m%C3%A9xico?adjust_creative=JFcob6zpzFEcSKIHSDginw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=JFcob6zpzFEcSKIHSDginw,1,"[{'alias': 'cosmetics', 'title': 'Cosmetics & Beauty Supply'}]",5.0,[],,,,10900.296086361,"[{'open': [{'is_overnight': False, 'start': '1000', 'end': '2130', 'day': 0}, {'is_overnight': False, 'start': '1000', 'end': '2130', 'day': 1}, {'is_overnight': False, 'start': '1000', 'end': '2130', 'day': 2}, {'is_overnight': False, 'start': '1000', 'end': '2130', 'day': 3}, {'is_overnight': False, 'start': '1000', 'end': '2130', 'day': 4}, {'is_overnight': False, 'start': '1000', 'end': '2130', 'day': 5}, {'is_overnight': False, 'start': '1000', 'end': '2130', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",19.4415847,-99.2039251,Lago Zurich 245,Col. Polanco,,"México, D.F.",11529,MX,DIF,"['Lago Zurich 245', 'Col. Polanco', '11529 México, D.F.', 'Mexico']",,,,
fbWabn7RmDe7qYHP3HkFZg,missha-cosmetics-méxico,Missha Cosmetics,https://s3-media4.fl.yelpcdn.com/bphoto/6uk0U0aqproqRfA4FEtMTQ/o.jpg,False,https://www.yelp.com/biz/missha-cosmetics-m%C3%A9xico?adjust_creative=JFcob6zpzFEcSKIHSDginw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=JFcob6zpzFEcSKIHSDginw,4,"[{'alias': 'cosmetics', 'title': 'Cosmetics & Beauty Supply'}]",3.3,[],$$,+525552074739,+52 55 5207 4739,6727.04847965013,"[{'open': [{'is_overnight': False, 'start': '0900', 'end': '2000', 'day': 0}, {'is_overnight': False, 'start': '0900', 'end': '2000', 'day': 1}, {'is_overnight': False, 'start': '0900', 'end': '2000', 'day': 2}, {'is_overnight': False, 'start': '0900', 'end': '2000', 'day': 3}, {'is_overnight': False, 'start': '0900', 'end': '2000', 'day': 4}, {'is_overnight': False, 'start': '0900', 'end': '1800', 'day': 5}, {'is_overnight': False, 'start': '1000', 'end': '1600', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",19.4242935846081,-99.1685760944428,Calle Hamburgo 206,Col. Juárez,,"México, D.F.",06600,MX,DIF,"['Calle Hamburgo 206', 'Col. Juárez', '06600 México, D.F.', 'Mexico']",,,,
ikPZcTAov5xaZmhTRVjgtg,la-coqueta-méxico,La Coqueta,https://s3-media3.fl.yelpcdn.com/bphoto/ycVEoQ8nYJ4IqMgn914dCg/o.jpg,False,https://www.yelp.com/biz/la-coqueta-m%C3%A9xico?adjust_creative=JFcob6zpzFEcSKIHSDginw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=JFcob6zpzFEcSKIHSDginw,0,"[{'alias': 'cosmetics', 'title': 'Cosmetics & Beauty Supply'}]",0.0,[],,,,4117.270366525721,[],19.430476709222,-99.1307162493467,Calle Venustiano Carranza 125,Col. Centro,,"México, D.F.",06000,MX,DIF,"['Calle Venustiano Carranza 125', 'Col. Centro', '06000 México, D.F.', 'Mexico']",,,,
